Displacement_0,Displacement_1,Displacement_2,Point Coordinates_0,Point Coordinates_1,Point Coordinates_2,Time
0,0,0,11.75,6.75,2.25,0
0.012897,-0.00012279,-0.0012473,11.763,6.7499,2.2488,0.0795095
0.051029,-0.00021941,-0.0037128,11.801,6.7498,2.2463,0.159019
0.13508,-6.9337e-05,-0.0053856,11.885,6.7499,2.2446,0.238529
0.24318,-0.00024029,-0.007394,11.993,6.7498,2.2426,0.318038
0.37732,-0.00015861,-0.0097564,12.127,6.7498,2.2402,0.397548
0.5588,-0.00013843,-0.012066,12.309,6.7499,2.2379,0.477057
0.76327,-0.00017002,-0.014233,12.513,6.7498,2.2358,0.556567
0.99325,-0.00019513,-0.016499,12.743,6.7498,2.2335,0.636076
1.2589,-0.00017179,-0.019463,13.009,6.7498,2.2305,0.715586
1.5625,-5.5837e-05,-0.021644,13.313,6.7499,2.2284,0.795095
1.8911,-0.00010518,-0.023969,13.641,6.7499,2.226,0.874605
2.2458,-0.00024457,-0.026586,13.996,6.7498,2.2234,0.954114
2.6426,-0.0002134,-0.029527,14.393,6.7498,2.2205,1.03362
3.0678,-0.00014703,-0.03195,14.818,6.7499,2.2181,1.11313
3.5192,-0.00011296,-0.034371,15.269,6.7499,2.2156,1.19264
4.0021,-0.00021294,-0.037703,15.752,6.7498,2.2123,1.27215
4.5251,-9.226e-05,-0.040505,16.275,6.7499,2.2095,1.35166
5.0736,-3.8251e-05,-0.043029,16.824,6.75,2.207,1.43117
5.6472,-0.00024487,-0.045927,17.397,6.7498,2.2041,1.51068
6.2611,-0.00014637,-0.049413,18.011,6.7499,2.2006,1.59019
6.9068,-0.00011565,-0.052181,18.657,6.7499,2.1978,1.6697
7.5789,-0.00010172,-0.054944,19.329,6.7499,2.1951,1.74921
8.2778,-0.00016506,-0.058487,20.028,6.7498,2.1915,1.82872
9.0208,-0.00016538,-0.061975,20.771,6.7498,2.188,1.90823
9.7896,-9.8486e-05,-0.064994,21.54,6.7499,2.185,1.98774
