Displacement_0,Displacement_1,Displacement_2,Point Coordinates_0,Point Coordinates_1,Point Coordinates_2,Time
0,0,0,11.75,6.75,2.25,0
0.020581,-0.00014385,-0.0017685,11.771,6.7499,2.2482,0.0795095
0.076774,-0.0001119,-0.0059165,11.827,6.7499,2.2441,0.159019
0.17912,-0.00011654,-0.0086004,11.929,6.7499,2.2414,0.238529
0.32116,-0.00012724,-0.011858,12.071,6.7499,2.2381,0.318038
0.49937,-8.721e-05,-0.014441,12.249,6.7499,2.2356,0.397548
0.72095,-0.00014077,-0.017747,12.471,6.7499,2.2323,0.477057
0.98214,-7.4675e-05,-0.020906,12.732,6.7499,2.2291,0.556567
1.2841,-0.00010356,-0.023481,13.034,6.7499,2.2265,0.636076
1.6247,-0.00011131,-0.026693,13.375,6.7499,2.2233,0.715586
2.0068,-0.00010598,-0.029597,13.757,6.7499,2.2204,0.795095
2.4295,-0.00010833,-0.032652,14.18,6.7499,2.2173,0.874605
2.8911,-9.1519e-05,-0.035459,14.641,6.7499,2.2145,0.954114
3.3937,-0.00011245,-0.038462,15.144,6.7499,2.2115,1.03362
3.9364,-9.8953e-05,-0.0415,15.686,6.7499,2.2085,1.11313
4.5196,-9.5173e-05,-0.044327,16.27,6.7499,2.2057,1.19264
5.1426,-0.00010405,-0.047307,16.893,6.7499,2.2027,1.27215
5.8059,-0.00010253,-0.050235,17.556,6.7499,2.1998,1.35166
6.5097,-0.00010458,-0.05321,18.26,6.7499,2.1968,1.43117
7.2534,-9.5404e-05,-0.056091,19.003,6.7499,2.1939,1.51068
8.0375,-0.00010049,-0.059016,19.787,6.7499,2.191,1.59019
8.8618,-0.00010352,-0.061974,20.612,6.7499,2.188,1.6697
9.7264,-9.429e-05,-0.064864,21.476,6.7499,2.1851,1.74921
10.631,-0.00010212,-0.067781,22.381,6.7499,2.1822,1.82872
11.576,-0.00010199,-0.070691,23.326,6.7499,2.1793,1.90823
12.561,-9.7299e-05,-0.073615,24.311,6.7499,2.1764,1.98774
