Displacement_0,Displacement_1,Displacement_2,Point Coordinates_0,Point Coordinates_1,Point Coordinates_2,Time
0,0,0,11.75,6.75,2.25,0
0.012787,-0.00012233,-0.002148,11.763,6.7499,2.2479,0.0795095
0.04758,-0.0002267,-0.0083301,11.798,6.7498,2.2417,0.159019
0.12769,-0.00013349,-0.013307,11.878,6.7499,2.2367,0.238529
0.23836,-0.00020253,-0.017774,11.988,6.7498,2.2322,0.318038
0.37252,-0.00012309,-0.022332,12.123,6.7499,2.2277,0.397548
0.54649,-0.00018904,-0.02727,12.296,6.7498,2.2227,0.477057
0.74946,-0.00018041,-0.031648,12.499,6.7498,2.2184,0.556567
0.98216,-0.00014741,-0.035419,12.732,6.7499,2.2146,0.636076
1.2462,-0.00016105,-0.039927,12.996,6.7498,2.2101,0.715586
1.5429,-0.00011609,-0.044174,13.293,6.7499,2.2058,0.795095
1.8722,-0.00017337,-0.04819,13.622,6.7498,2.2018,0.874605
2.2292,-0.00016657,-0.052237,13.979,6.7498,2.1978,0.954114
2.6195,-0.00016955,-0.056457,14.37,6.7498,2.1935,1.03362
3.0415,-0.00015135,-0.060639,14.792,6.7498,2.1894,1.11313
3.4941,-0.00011475,-0.064563,15.244,6.7499,2.1854,1.19264
3.9782,-0.00018075,-0.068684,15.728,6.7498,2.1813,1.27215
4.4928,-0.00014192,-0.072834,16.243,6.7499,2.1772,1.35166
5.0403,-0.00015521,-0.076857,16.79,6.7498,2.1731,1.43117
5.6177,-0.00016771,-0.080905,17.368,6.7498,2.1691,1.51068
6.2264,-0.00013832,-0.084986,17.976,6.7499,2.165,1.59019
6.8676,-0.00016432,-0.089072,18.618,6.7498,2.1609,1.6697
7.5389,-0.00013164,-0.093097,19.289,6.7499,2.1569,1.74921
8.2419,-0.00016257,-0.097115,19.992,6.7498,2.1529,1.82872
8.9763,-0.00016132,-0.1012,20.726,6.7498,2.1488,1.90823
9.7419,-0.00014202,-0.10523,21.492,6.7499,2.1448,1.98774
