Displacement_0,Displacement_1,Displacement_2,Time
0,0,0,0
0.0020528,0.00035751,-0.0056568,0.0974279
0.014867,-0.00029073,-0.0012947,0.194856
0.041307,-0.00086725,-0.0042178,0.292284
0.075008,-0.00017075,-0.00541,0.389711
0.11477,-0.0004014,-0.0018722,0.487139
0.16254,0.00019796,-0.0035047,0.584567
0.22256,0.00019119,-0.00097798,0.681995
0.28925,-0.00025176,-0.0065256,0.779423
0.3595,-0.00051242,-0.0021197,0.876851
0.437,-0.00061011,-0.004599,0.974279
0.52133,-8.3217e-05,-0.0027933,1.07171
0.61,0.00063235,-0.0031997,1.16913
0.70175,-0.0006468,-0.0048779,1.26656
0.7957,-0.00043165,-0.0029112,1.36399
0.89241,-0.00049948,-0.005636,1.46142
0.99051,-0.00026309,-0.0034638,1.55885
1.0888,-0.00022084,-0.0044869,1.65627
1.1843,-4.8185e-05,-0.0039731,1.7537
1.2795,3.0575e-05,-0.0041746,1.85113
1.3731,-0.00044625,-0.0051814,1.94856
1.4627,-0.00017472,-0.0050949,2.04599
1.5465,-0.00032371,-0.0057152,2.14341
1.626,0.00025363,-0.0036621,2.24084
1.7,-0.00052012,-0.0060257,2.33827
1.7665,5.3716e-05,-0.0040359,2.4357
1.8271,-0.00062215,-0.0066302,2.53312
1.8787,-0.00064639,-0.0047443,2.63055
1.9232,3.0443e-05,-0.0052584,2.72798
1.9573,-0.00017441,-0.0056645,2.82541
1.984,-0.00025635,-0.0046886,2.92284
1.9999,-0.00085928,-0.0062972,3.02026
2.0081,-0.00015611,-0.004798,3.11769
2.0062,-0.00028724,-0.0074049,3.21512
1.9943,-0.00048736,-0.0041494,3.31255
1.9723,0.00023118,-0.0065541,3.40998
1.942,-0.00025309,-0.0043062,3.5074
1.9042,-0.00033536,-0.0066593,3.60483
1.8557,-0.00083096,-0.0054966,3.70226
1.8007,-0.00015378,-0.0063764,3.79969
1.7368,-0.00044738,-0.0051195,3.89711
1.6674,3.208e-05,-0.005607,3.99454
1.591,-4.8371e-05,-0.0056215,4.09197
1.51,-0.00029275,-0.0062437,4.1894
1.4219,-0.00028986,-0.0058051,4.28683
1.3299,-0.00034923,-0.0044013,4.38425
1.2365,0.00020401,-0.005349,4.48168
1.1415,-0.00057201,-0.0045203,4.57911
1.0453,-0.00018711,-0.0060353,4.67654
0.94598,-0.00071785,-0.0049897,4.77397
0.84942,0.00013798,-0.0049995,4.87139
0.75319,-0.0002799,-0.0042814,4.96882
0.66164,0.00014566,-0.0056411,5.06625
0.57145,-5.2719e-05,-0.0042388,5.16368
0.48474,-5.8168e-05,-0.0050281,5.2611
0.40261,5.8704e-05,-0.0035824,5.35853
0.32847,-0.00043156,-0.0052929,5.45596
0.2615,0.0001094,-0.004142,5.55339
0.1991,-0.00057538,-0.0048949,5.65082
0.14588,0.00075151,-0.0034906,5.74824
0.099063,-0.00041602,-0.0046953,5.84567
0.062907,-2.9064e-05,-0.0037153,5.9431
0.035327,-0.00051423,-0.0055152,6.04053
0.018055,0.00010169,-0.0038584,6.13796
0.0071023,0.0001478,-0.0047007,6.23538
0.0060394,-0.00036803,-0.0029443,6.33281
0.016681,-0.0002309,-0.0049224,6.43024
0.036884,-0.00049363,-0.0047068,6.52767
0.066432,0.00046597,-0.0054087,6.62509
0.10178,-0.00029422,-0.0043055,6.72252
0.14815,0.00035598,-0.0042718,6.81995
0.20185,-0.00047553,-0.0044661,6.91738
0.26527,9.9082e-05,-0.0050283,7.01481
0.33446,-0.00035104,-0.0064179,7.11223
0.409,-0.00046901,-0.0044384,7.20966
0.4892,-0.0001872,-0.0055251,7.30709
0.57599,0.00022033,-0.0039239,7.40452
0.66794,0.0002592,-0.0059533,7.50195
0.76091,-0.00060601,-0.005635,7.59937
0.85662,-0.00018034,-0.0068304,7.6968
0.95315,-0.00045164,-0.0050729,7.79423
1.0518,0.00037965,-0.0063635,7.89166
1.1492,-0.00049523,-0.0054277,7.98908
1.2465,-0.00023069,-0.0071576,8.08651
1.3397,-0.00044877,-0.0064807,8.18394
1.4311,0.00027591,-0.0070027,8.28137
1.5181,-5.6197e-05,-0.0064138,8.3788
1.5996,-6.7995e-05,-0.0068548,8.47622
1.6757,0.00022413,-0.0061265,8.57365
1.7472,-0.00048313,-0.0075715,8.67108
1.8114,-0.0003216,-0.0075836,8.76851
1.8674,-5.7525e-05,-0.0071218,8.86594
1.9142,0.0001787,-0.0079633,8.96336
1.9536,-0.00077151,-0.0060802,9.06079
1.9845,0.00043116,-0.0077113,9.15822
2.0062,0.00012585,-0.0066224,9.25565
2.0186,-0.00019368,-0.0086525,9.35307
2.0199,-0.00065761,-0.0068291,9.4505
2.0125,9.2587e-05,-0.007486,9.54793
1.9963,0.00030866,-0.006554,9.64536
1.9707,-0.00031945,-0.0072949,9.74279
1.936,-0.00011156,-0.0076646,9.84021
1.8921,-0.00036979,-0.0062233,9.93764
