Displacement_0,Displacement_1,Displacement_2,Time
0,0,0,0
0.00047656,0.00036332,-0.0062543,0.0974279
0.0063641,-0.00058127,-0.0022984,0.194856
0.015599,-0.0006923,-0.0051104,0.292284
0.028004,-0.00026293,-0.0046107,0.389711
0.043034,6.5909e-05,-0.0024165,0.487139
0.062771,0.00015281,-0.0048498,0.584567
0.088142,-0.00061104,-0.002749,0.681995
0.11397,-0.00024006,-0.0043856,0.779423
0.14494,-0.00019466,-0.0025579,0.876851
0.17941,0.0001558,-0.0044433,0.974279
0.21856,-0.00053777,-0.0048742,1.07171
0.26043,-0.00037309,-0.0039805,1.16913
0.30473,-0.00066473,-0.003391,1.26656
0.35496,0.00067699,-0.0030897,1.36399
0.40784,-0.00083319,-0.003734,1.46142
0.4655,0.00041307,-0.004821,1.55885
0.52596,-0.0012457,-0.0035973,1.65627
0.5891,0.00048379,-0.0051855,1.7537
0.65794,-0.00026716,-0.0027754,1.85113
0.72884,-0.00012567,-0.0055907,1.94856
0.80461,-0.00032112,-0.0024518,2.04599
0.88288,-0.00036885,-0.0047547,2.14341
0.96366,-0.00012855,-0.0039106,2.24084
1.0443,-5.4274e-05,-0.0057894,2.33827
1.1175,-0.00097916,-0.0062034,2.4357
1.1879,0.00029408,-0.0034671,2.53312
1.2535,-0.00090512,-0.0053165,2.63055
1.3196,0.00054624,-0.0041151,2.72798
1.3781,-0.00064077,-0.006053,2.82541
1.4341,-0.00047961,-0.0039839,2.92284
1.4867,-4.9452e-05,-0.0057842,3.02026
1.5348,-0.00026829,-0.0044846,3.11769
1.5806,-0.00028544,-0.0063406,3.21512
1.6211,-0.0003505,-0.0042522,3.31255
1.6585,-0.00037836,-0.0059593,3.40998
1.6917,0.00041561,-0.0034469,3.5074
1.7221,-0.00070997,-0.0067908,3.60483
1.7489,-0.00019251,-0.0041988,3.70226
1.7713,-0.00020308,-0.0069675,3.79969
1.7897,-0.00039124,-0.0042488,3.89711
1.8047,-0.00033182,-0.006472,3.99454
1.8161,0.00034134,-0.0041826,4.09197
1.8248,-0.000451,-0.006614,4.1894
1.8278,-0.00037937,-0.0050502,4.28683
1.8283,-0.00020157,-0.0063084,4.38425
1.8244,0.00030669,-0.0049139,4.48168
1.8178,-0.00063905,-0.0069171,4.57911
1.8067,-6.5123e-05,-0.0052447,4.67654
1.7909,-0.00037225,-0.0059583,4.77397
1.7731,0.00013206,-0.0051043,4.87139
1.7507,-0.00032702,-0.0061262,4.96882
1.7253,-0.0002297,-0.0059304,5.06625
1.6958,-0.00051926,-0.0062314,5.16368
1.662,2.7996e-05,-0.005747,5.2611
1.6249,-3.7455e-05,-0.0054891,5.35853
1.5843,-0.00060054,-0.0064941,5.45596
1.5402,-1.6109e-05,-0.0057992,5.55339
1.4918,-0.00083538,-0.0066051,5.65082
1.4393,2.2372e-06,-0.0049087,5.74824
1.3883,-0.00044315,-0.0061307,5.84567
1.3409,-0.0001947,-0.0036156,5.9431
1.2991,-0.00031128,-0.0059459,6.04053
1.2601,0.00021553,-0.0044586,6.13796
1.2254,-0.00065779,-0.006265,6.23538
1.1922,6.3807e-05,-0.0038769,6.33281
1.1655,-0.00071564,-0.006004,6.43024
1.1424,0.00029636,-0.0050211,6.52767
1.1223,-0.00042637,-0.0070873,6.62509
1.1044,-0.00026918,-0.0044492,6.72252
1.0917,8.9092e-05,-0.0058948,6.81995
1.0827,-0.00027007,-0.0045649,6.91738
1.0788,-1.6788e-05,-0.0070534,7.01481
1.0756,-0.0003059,-0.005099,7.11223
1.0778,-0.00028967,-0.0059556,7.20966
1.0826,-8.1812e-05,-0.0049226,7.30709
1.094,-0.00028246,-0.0065161,7.40452
1.1068,-0.00031921,-0.0061458,7.50195
1.123,9.7695e-05,-0.0056232,7.59937
1.1432,-0.0001112,-0.0048906,7.6968
1.1679,-0.00031822,-0.0058426,7.79423
1.1971,-0.00052741,-0.0060358,7.89166
1.2282,-7.8975e-05,-0.0060479,7.98908
1.2629,-0.00024205,-0.0053931,8.08651
1.3016,-0.00025901,-0.0050709,8.18394
1.3457,-0.00035879,-0.0061261,8.28137
1.3917,-0.00016213,-0.0049456,8.3788
1.4427,-6.8002e-05,-0.0062332,8.47622
1.4966,-0.00037985,-0.0046969,8.57365
1.5551,-2.5453e-05,-0.0063894,8.67108
1.6161,-0.00062309,-0.0053094,8.76851
1.6781,-0.0001763,-0.0077204,8.86594
1.7342,-0.00023488,-0.0071749,8.96336
1.785,-1.7772e-05,-0.0066547,9.06079
1.8324,-0.00020383,-0.0055531,9.15822
1.8787,-0.00012264,-0.0071848,9.25565
1.921,-0.00028137,-0.0076608,9.35307
1.9565,-2.2324e-05,-0.0068227,9.4505
1.9896,-0.00021671,-0.0062319,9.54793
2.019,-0.00024309,-0.0064385,9.64536
2.0472,8.1425e-05,-0.0077523,9.74279
2.0691,-0.00027168,-0.0070288,9.84021
2.0865,3.3308e-05,-0.0070031,9.93764
