Displacement_0,Displacement_1,Displacement_2,Time
0,0,0,0
-0.00014283,0.00036209,-0.0064721,0.0974279
0.0020963,-0.00060794,-0.0028953,0.194856
0.0044636,-0.00064327,-0.0051819,0.292284
0.0074254,-0.00035321,-0.004742,0.389711
0.010836,0.00011352,-0.002914,0.487139
0.015824,0.00013336,-0.0052865,0.584567
0.022736,-0.00054933,-0.0030929,0.681995
0.029174,-0.00037883,-0.004172,0.779423
0.036758,-0.00017182,-0.0036815,0.876851
0.045183,0.00023025,-0.0039888,0.974279
0.055537,-0.00044155,-0.0056344,1.07171
0.066344,-0.00062335,-0.0043208,1.16913
0.077056,-0.00033649,-0.0036799,1.26656
0.089265,0.00021262,-0.004131,1.36399
0.10294,0.0001324,-0.00266,1.46142
0.11766,-0.00051495,-0.0064126,1.55885
0.13324,-0.0006063,-0.0024474,1.65627
0.14842,-0.00012641,-0.0070433,1.7537
0.16559,0.0002295,-0.0019047,1.85113
0.18341,-0.00062751,-0.0065998,1.94856
0.20311,-0.00030971,-0.0022022,2.04599
0.22267,-0.00065725,-0.0053203,2.14341
0.24299,0.00063757,-0.003434,2.24084
0.26537,-7.4796e-05,-0.0049578,2.33827
0.2877,-0.00087577,-0.005544,2.4357
0.31227,-0.00021617,-0.0040955,2.53312
0.33503,-0.00075114,-0.0050841,2.63055
0.361,0.00088485,-0.0027329,2.72798
0.38782,-0.00074207,-0.0054535,2.82541
0.41481,-0.00030363,-0.0040015,2.92284
0.44122,-0.00029378,-0.0062333,3.02026
0.46565,-6.3665e-06,-0.0039482,3.11769
0.49065,-7.5473e-05,-0.0064563,3.21512
0.51439,-0.00051649,-0.0035096,3.31255
0.53664,-0.00052368,-0.0066414,3.40998
0.55794,0.00049659,-0.0019696,3.5074
0.57845,-0.00016046,-0.0068482,3.60483
0.59898,-0.00040292,-0.0034132,3.70226
0.61809,-0.00073007,-0.0078482,3.79969
0.6349,-0.00061932,-0.0034901,3.89711
0.65262,0.00032381,-0.0061948,3.99454
0.66759,5.9995e-05,-0.0032557,4.09197
0.68426,-0.00030754,-0.0063833,4.1894
0.69722,-0.00040815,-0.0041194,4.28683
0.71118,0.00012692,-0.0065122,4.38425
0.72268,-0.0005754,-0.0040858,4.48168
0.73434,-5.8724e-05,-0.007278,4.57911
0.74592,-0.00083793,-0.0048998,4.67654
0.75386,0.00011668,-0.0055305,4.77397
0.76299,-0.0004432,-0.0043885,4.87139
0.77037,0.0006079,-0.0051407,4.96882
0.77814,-0.00058904,-0.0064461,5.06625
0.78408,-0.00083211,-0.0058971,5.16368
0.78779,-3.532e-05,-0.0057624,5.2611
0.79153,-3.9957e-05,-0.0051768,5.35853
0.79416,-0.00033126,-0.0056198,5.45596
0.79779,0.00010131,-0.005585,5.55339
0.79841,-0.00097861,-0.0061517,5.65082
0.79817,0.00016796,-0.0051666,5.74824
0.79754,0.00028425,-0.0064369,5.84567
0.79717,-0.00067036,-0.0059845,5.9431
0.79409,-2.6999e-05,-0.0071503,6.04053
0.7899,-0.000338,-0.0047859,6.13796
0.78467,-0.00015412,-0.0060082,6.23538
0.78129,0.00012795,-0.0049011,6.33281
0.77789,-0.00074668,-0.0070441,6.43024
0.77523,-0.000412,-0.00546,6.52767
0.77397,-0.00043612,-0.0069473,6.62509
0.77249,0.00021111,-0.0049685,6.72252
0.77295,5.9907e-05,-0.0064688,6.81995
0.77395,-0.00061826,-0.0052612,6.91738
0.77661,-1.6319e-05,-0.0069012,7.01481
0.77847,-0.00025406,-0.0044075,7.11223
0.78352,-0.00054259,-0.0077063,7.20966
0.78756,0.00030203,-0.0053305,7.30709
0.79508,-0.0011178,-0.0078211,7.40452
0.79996,0.00014568,-0.0052717,7.50195
0.80918,0.00017686,-0.0066841,7.59937
0.8157,-6.8921e-05,-0.0049733,7.6968
0.82752,-0.0003122,-0.007042,7.79423
0.8372,-0.00027013,-0.0057741,7.89166
0.84858,-0.00037085,-0.0071574,7.98908
0.86058,-0.00047959,-0.0053505,8.08651
0.87395,0.00026174,-0.0069946,8.18394
0.88903,-0.0011635,-0.0061637,8.28137
0.90318,0.00038829,-0.0062324,8.3788
0.91985,-0.00034598,-0.0060437,8.47622
0.9354,0.00021138,-0.0047615,8.57365
0.95474,-0.00032458,-0.0073505,8.67108
0.97318,-0.0003392,-0.0054805,8.76851
0.99338,-0.00095101,-0.0077091,8.86594
1.0132,0.00059234,-0.0049933,8.96336
1.0354,-0.00046315,-0.007345,9.06079
1.057,0.00051782,-0.0049781,9.15822
1.0823,-0.0011057,-0.007636,9.25565
1.103,1.2629e-05,-0.0055242,9.35307
1.1244,-0.0004569,-0.0066186,9.4505
1.1449,9.1153e-05,-0.0056472,9.54793
1.164,-0.000173,-0.0070371,9.64536
1.1833,-0.00074678,-0.0063199,9.74279
1.2008,0.00019625,-0.0074286,9.84021
1.217,-0.00035528,-0.0056741,9.93764
