Displacement_0,Displacement_1,Displacement_2,Time
0,0,0,0
7.186e-05,0.00036101,-0.0063964,0.0974279
0.0035503,-0.00059937,-0.002693,0.194856
0.0082453,-0.00065817,-0.0051648,0.292284
0.01439,-0.00032382,-0.0046935,0.389711
0.021701,0.00010126,-0.0027616,0.487139
0.031648,0.00013969,-0.0051413,0.584567
0.044782,-0.00057553,-0.0029974,0.681995
0.057722,-0.00033209,-0.0042288,0.779423
0.073153,-0.00018352,-0.0033171,0.876851
0.090322,0.00021956,-0.0041319,0.974279
0.11034,-0.00046439,-0.0054701,1.07171
0.1316,-0.00053978,-0.0041779,1.16913
0.15348,-0.00046132,-0.0036387,1.26656
0.17842,0.00036355,-0.0036336,1.36399
0.20543,-0.000234,-0.0032889,1.46142
0.23423,-2.2313e-05,-0.0058162,1.55885
0.26484,-0.00096259,-0.002782,1.65627
0.29606,0.00016219,-0.0065347,1.7537
0.33089,-2.979e-05,-0.0021165,1.85113
0.36583,-0.0007334,-0.006282,1.94856
0.40544,5.6988e-05,-0.0022242,2.04599
0.44419,-0.00068465,-0.0052557,2.14341
0.48527,0.00064817,-0.003186,2.24084
0.52945,-0.0003842,-0.0050644,2.33827
0.57416,-0.00067617,-0.005216,2.4357
0.62174,-0.00045178,-0.0037739,2.53312
0.66985,-0.00010477,-0.0051539,2.63055
0.71896,0.00049984,-0.0034949,2.72798
0.76634,-0.0004709,-0.0058278,2.82541
0.81043,-0.0007709,-0.0042916,2.92284
0.85418,-4.2987e-05,-0.0056296,3.02026
0.89435,-0.00046378,-0.004553,3.11769
0.93459,0.00028385,-0.0059805,3.21512
0.97178,-0.0006851,-0.0037852,3.31255
1.0073,-0.00033598,-0.0061921,3.40998
1.0414,0.00022663,-0.0027435,3.5074
1.073,-0.00045364,-0.0069708,3.60483
1.1039,0.00013198,-0.0037827,3.70226
1.1315,-0.00067983,-0.0071773,3.79969
1.1584,-2.49e-05,-0.004398,3.89711
1.1819,-0.00023883,-0.0058123,3.99454
1.2053,9.2982e-05,-0.0042603,4.09197
1.2255,-0.0005296,-0.0058966,4.1894
1.2451,-0.00010863,-0.0045068,4.28683
1.2621,-0.00026195,-0.0067444,4.38425
1.277,0.00017057,-0.0047798,4.48168
1.2901,-0.00043507,-0.0065711,4.57911
1.3019,-0.00034305,-0.0051347,4.67654
1.3115,-0.00037177,-0.0055139,4.77397
1.3196,8.3812e-05,-0.0054768,4.87139
1.3252,-0.00017938,-0.0054945,4.96882
1.3293,0.00015961,-0.0057294,5.06625
1.3319,-0.0007885,-0.0066958,5.16368
1.3318,4.3383e-05,-0.006073,5.2611
1.3297,-0.0002688,-0.0059704,5.35853
1.3258,-0.00012338,-0.0057199,5.45596
1.3219,-0.00017739,-0.0053437,5.55339
1.3144,-0.00028037,-0.0069156,5.65082
1.3053,3.2587e-05,-0.0047333,5.74824
1.2941,0.00029516,-0.0073174,5.84567
1.2817,-0.0010406,-0.0056476,5.9431
1.2677,-2.1371e-05,-0.0077021,6.04053
1.2507,-0.00058801,-0.00551,6.13796
1.2342,6.7178e-05,-0.0053723,6.23538
1.22,9.5052e-05,-0.0040444,6.33281
1.2107,-0.00044037,-0.0066025,6.43024
1.2001,1.2039e-05,-0.0060874,6.52767
1.1914,-0.00025769,-0.0064979,6.62509
1.184,-0.0002707,-0.0050005,6.72252
1.1804,3.8847e-06,-0.0064315,6.81995
1.1792,-0.0010091,-0.0059133,6.91738
1.1792,0.00014832,-0.0070011,7.01481
1.178,1.5735e-05,-0.0042637,7.11223
1.1821,0.00025791,-0.0056525,7.20966
1.1879,-0.00012861,-0.006386,7.30709
1.1956,-0.00068688,-0.0073979,7.40452
1.2031,-0.00029488,-0.0063014,7.50195
1.2129,-7.8364e-05,-0.0056208,7.59937
1.2267,-0.00019377,-0.0062347,7.6968
1.2411,-0.00025214,-0.0061522,7.79423
1.2586,4.0387e-06,-0.0063421,7.89166
1.2743,-0.00014865,-0.0056182,7.98908
1.2947,0.00016032,-0.0055552,8.08651
1.3163,-0.00030374,-0.0064551,8.18394
1.3413,-0.00062979,-0.0073518,8.28137
1.3651,-0.00065105,-0.0057449,8.3788
1.3933,0.00025942,-0.0061052,8.47622
1.4228,-0.00026706,-0.0058921,8.57365
1.4545,0.00049586,-0.0061716,8.67108
1.4872,-0.00076998,-0.0066055,8.76851
1.5213,6.969e-05,-0.005688,8.86594
1.5573,-0.00019219,-0.0060853,8.96336
1.5965,-0.00017963,-0.0065625,9.06079
1.6357,-0.00046835,-0.0074182,9.15822
1.671,-0.00036917,-0.0071595,9.25565
1.7035,-0.00026105,-0.0063502,9.35307
1.7347,0.0003521,-0.0058475,9.4505
1.7657,-0.00042102,-0.0070754,9.54793
1.794,-0.0004995,-0.0068936,9.64536
1.8195,-6.6894e-05,-0.0066943,9.74279
1.8428,-0.00084407,-0.0063102,9.84021
1.8654,0.00030766,-0.0062964,9.93764
